날짜,단어,뜻
Day37,availability,"n. (참석, 이용 등의) 가능성"
Day37,estimate,"v. 추정하다 n. 추정(치), 견적서"
Day37,pivotal,"a. 중추적인, 중심이 되는"
Day37,stationary,"a. 고정된, 멈추어 있는, 정지된"
Day37,district,"n. 지구, 구역"
Day37,vibration,"n. 진동, 떨림"
Day38,enclosure,"n. 울타리(를 친 곳), 구내, 우리"
Day38,respondent,n. 응답자
Day38,humility,n. 겸손
Day38,justification,"n. 정당화, 타당한[정당한] 이유"
Day38,damp,"a. 축축한 v. 적시다, 축축하게 하다"
Day38,allegedly,"ad. 주장에 의하면, 전해지는 바에 의하면"
Day38,pebble,"n. 자갈, 조약돌"
Day38,marginal,"a. 중요하지 않은, 한계의"
Day38,attentiveness,"n. 세심함, 주의 깊음"
Day38,adjust,"v. 조정하다, 적응하다"
Day38,entity,n. 독립체
Day38,temptation,n. 유혹
Day38,duty,"n. 의무, 업무"
Day38,claim,v. 주장하다 n. 주장
Day38,layer,"n. 층, 겹"
Day38,negligible,a. 무시해도 될 정도의
Day38,endangered,a. 멸종 위기의
Day38,vegetation,"n. 식물, 식생, 초목"
Day38,proficiency,"n. 능력, 숙달(도)"
Day38,license,n. 면허[자격](증)
Day38,tolerate,"v. 견디다, 용인하다"
Day38,transatlantic,a. 대서양 횡단의
Day38,optimize,"v. 최적화하다, 최대한 잘하다"
Day38,barely,"ad. 겨우, 가까스로, 거의 ~ 아니게"
Day38,addition,"n. 추가, 덧셈"
Day38,foraging,n. (먹이) 채집하기
Day38,stakeholder,"n. 이해 당사자, 주주"
Day38,logging,n. 벌목
Day38,capital,"n. 자본, 수도, 대문자"
Day38,display,"v. 표시하다, 전시하다 n. 전시, 진열"
Day39,clench,"v. 뒤틀리다, 꽉 쥐다"
Day39,convince,v. 설득하다
Day39,acute,"a. 심각한, 급성의, 급격한"
Day39,embedded,"a. 내장된, 내포된"
Day39,pregnancy,n. 임신
Day39,preceding,"a. 선행하는, 이전의, 앞선"
Day39,phase,"n. 단계, 시기"
Day39,blessing,n. 축복
Day39,simultaneous,"n. 점유율, 몫 v. 공유하다, 나누다"
Day39,transitory,"a. 일시적인, 순간적인"
Day39,intimate,a. 친밀한
Day39,dawn,n. 새벽
Day39,recession,"n. 경기 침체기, 경기 침체"
Day39,inertia,"n. 관성, 타성, 무력"
Day39,suffocating,"a. 숨 막히는, 질식할 것 같은"
Day39,withdrawal,"n. 철수, 회수, 인출"
Day39,synchronous,"a. 동시적인, 동시에 발생하는"
Day39,trait,n. 특성
Day39,glance,"v. 흘끗 보다, 빠르게 훑어보다 n. 흘끗 봄"
Day39,commitment,"n. 몰두, 전념, 헌신, 약속"
Day39,fundamental,"a. 근본적인, 기본적인"
Day39,boredom,"n. 지루함, 권태, 따분함"
Day39,freight,"n. 짐, 화물"
Day39,practice,"n. 관행, 연습 v. 연습하다"
Day39,tract,"n. 토지, 넓은 면적[지역]"
Day39,estate,"n. 토지, 재산, 부동산"
Day39,indebtedness,"n. 빚, 은혜를 입음, 채무"
Day39,notification,n. 알림
Day39,depopulate,v. 인구를 감소시키다
Day39,expectation,n. 기대
Day40,ceremony,"n. 의식, 예식"
Day40,enable,"v. 가능하게 하다, 하게 하다"
Day40,poison,"n. 독, 독약, 유해 물질 v. 아프게 하다, 독을 넣다"
Day40,divorce,"n. 이혼, 분리 v. 이혼하다, 분리하다"
Day40,payroll,"n. 급여 명부, 급여 비용"
Day40,provide,"v. 제공하다, 공급하다"
Day40,satisfaction,"n. 만족, 충족"
Day40,fairy,"a. 상상의, 요정의 n. 동화, 요정"
Day40,customer,"n. 고객, 이용자"
Day40,utilitarian,"a. 실용적인, 공리주의의 n. 공리주의자"
Day40,discriminatory,a. 차별적인
Day40,reduce,"v. 줄이다, 감소하다, 축소하다"
Day40,patron,"n. 후원자, (단골) 고객 v. 후원하다"
Day40,existing,"a. 기존의, 존재하는"
Day40,mediator,"n. 매개자, 중재자"
Day40,defense,"n. 방어 (태세), 방어(력)"
Day40,torment,"v. 고통을 주다, 괴롭히다, 고문하다 n. 고통, 고뇌, 고문"
Day40,familiarity,"n. 익숙함, 친숙함"
Day40,anthropologist,n. 인류학자
Day40,inference,n. 추론
Day40,violate,"v. 위반하다, 침해하다"
Day40,tricky,"a. 까다로운, 어려운, 곤란한"
Day40,merit,n. 가치 v. (칭찬·관심 등을) 받을 만하다
Day40,aim,v. 목표하다 n. 목표
Day40,reasonable,"a. 합리적인, 이치에 맞는"
Day40,pleasure,"n. 즐거움, 쾌락"
Day40,regular,"a. 정기적인, 일반의"
Day40,sympathetic,"a. 공감이 가는, 교감의, 호의적인"
Day40,annoying,"a. 짜증을 유발하는, 성가신, 신경 쓰이게 하는"
Day40,stubborn,"a. 다루기 어려운, 완고한"
Day41,likeness,"n. 닮음, 유사"
Day41,surgeon,n. 외과 의사
Day41,partial,"a. 부분적인, 불완전한, 편파적인"
Day41,awe,"n. 경외감, 경외심"
Day41,appoint,"v. 지정하다, 임명하다"
Day41,trillion,n. 1조
Day41,amplify,"v. 부연하다, 더 자세히 진술하다, 증폭하다"
Day41,trivial,"a. 사소한, 하찮은, 간단한"
Day41,atmosphere,"n. 분위기, 대기, 공기"
Day41,embarrassing,"a. 당혹스러운, 난처한"
Day41,establish,"v. 구축하다, 세우다, 설립하다"
Day41,innovative,a. 혁신적인
Day41,explosion,"n. 폭발적인 증가, 폭발"
Day41,debt,"n. 빚, 부채, 신세를 짐"
Day41,expertise,"n. 전문성, 전문 지식"
Day41,strike,"v. 치다, 때리다, 공격하다 n. 파업"
Day41,generative,"a. 생성의, 발생의"
Day41,reluctant,"a. 꺼리는, 마음 내키지 않는"
Day41,mend,"v. 고치다, 수정하다"
Day41,articulate,a. (생각을) 분명히 표현하는 v. 분명히 표현하다
Day41,homogeneous,"a. 동질적인, 균질한"
Day41,personnel,"n. 담당자, 인력, (회사의) 인사과"
Day41,bedrock,"n. (튼튼한) 기반 a. 견고한, 튼튼한"
Day41,achieve,"v. 얻다, 달성하다, 성취하다"
Day41,diffuse,"v. 완화하다, 퍼지다, 분산시키다"
Day41,profession,"n. 직업, 전문직"
Day41,devalue,"v. 평가를 절하하다, 가치를 떨어뜨리다"
Day41,inquiry,"n. 탐구, 연구, 문의"
Day41,compelling,"a. 강력한, 설득력 있는"
Day41,manual,"n. 설명서, 입문서 a. 수동의, 손으로 하는"
Day42,mold,"n. 틀, 주형, 곰팡이 v. 맞게 하다"
Day42,latitude,"n. 위도, 지역, 자유"
Day42,speculation,"n. 추측, 숙고, 사색"
Day42,grooming,"n. 털 손질, (동물의) 그루밍"
Day42,strip,"v. 박탈하다, 빼앗다, 벗겨 내다"
Day42,path,"n. 길, 방향, 계획"
Day42,outbreak,"n. 발생, 발발"
Day42,equilibrium,"n. 균형 (상태), 평형"
Day42,alienate,"v. 멀어지게 하다, 소외시키다"
Day42,former,"a. 전임의, 이전의, 옛날의 n. 전자"
Day42,eternal,"a. 영원한, 끊임없는"
Day42,task,"v. 과업을 맡기다 n. 업무, 과업"
Day42,uphold,"v. 옹호하다, 지지하다"
Day42,misallocation,"n. 오배분, 부적당한 할당"
Day42,standard,"a. 표준의, 일반의, 보통의 n. 표준, 기준, 규격"
Day42,balance,"n. 균형, 저울, 잔고 v. 균형을 유지하다, 상쇄하다"
Day42,heat,v. 난방하다 n. 열
Day42,converge,"v. 수렴하다, 한 곳에 모이다"
Day42,option,"n. 선택지, 선택 (사항)"
Day42,steer,"v. 이끌다, 조종하다"
Day42,exclusion,"n. 배제, 제외"
Day42,lengthen,"v. 연장하다, 늘이다"
Day42,disease,"n. 질병, 질환"
Day42,chaos,"n. 혼돈, 혼란"
Day42,roof,"n. 지붕, 옥상"
Day42,count,"v. 여겨지다, 여기다, 유효하다, 세다 n. 계산, 총계"
Day42,disconnect,"v. 단절되다, 끊다"
Day42,shortage,"n. 부족, 결핍"
Day42,ape,n. 유인원
Day42,benefit,"n. 이점, 이익 v. 이익을 얻다"
Day43,addiction,n. 중독
Day43,organism,"n. 유기체, 생물"
Day43,prejudice,n. 편견
Day43,misconception,"n. 오해, 그릇된 생각"
Day43,outright,ad. 드러내 놓고 a. 명백한
Day43,last,v. 지속되다 a. 마지막의
Day43,empty,"a. 공허한, 비어 있는, 빈"
Day43,personal,"a. 개인적인, 개인의"
Day43,premise,n. 전제
Day43,infant,n. 유아
Day43,belonging,"n. 소속, 속해 있는 것, (주로 복수로) 소지품"
Day43,signal,"n. 신호 v. 신호를 보내다, 알리다"
Day43,assault,"n. 폭행, 공격 v. 폭행하다, 공격하다"
Day43,outweigh,v. ~보다 더 크다
Day43,continuity,"n. 연속성, 지속성"
Day43,bilingual,"a. 이중 언어를 구사하는, 두 개 언어를 할 줄 아는 n. 이중 언어 사용자"
Day43,literary,"a. 문헌의, 문학의"
Day43,moral,"a. 도덕적인, 도덕의 n. 교훈"
Day43,advantage,"n. 이점, 장점 v. 유리하게 하다"
Day43,prize,"v. 소중히 여기다 n. 상품, 상"
Day43,violence,"n. 폭력, 폭행, 격렬함"
Day43,coin,v. 만들어 내다 n. 동전
Day43,suppression,"n. 억압, 억제"
Day43,mechanism,"n. 메커니즘, 구성, 장치"
Day43,widen,"v. 확장하다, 커지다"
Day43,favor,"v. 선호하다, 편애하다 n. 부탁, 호의, 친절, 편애"
Day43,collapse,"v. 붕괴하다, 무너지다, 실패하다 n. 붕괴, 실패"
Day43,reciprocal,"a. 상응하는, 답례의, 상호적인"
Day43,abusive,"a. 학대하는, 모욕적인"
Day43,temperature,n. 온도
Day44,laboratory,n. 실험실
Day44,clue,"n. 단서, 실마리"
Day44,precedence,"n. 우선(함), 우선권"
Day44,minimize,v. 최소화하다
Day44,paradox,n. 역설
Day44,outfit,"n. 복장, 장비 v. 제공하다, 갖추어 주다"
Day44,notable,"a. 눈에 띄는, 주목할 만한"
Day44,breakdown,"n. 붕괴, 고장, 쇠약"
Day44,scientific,"a. 과학적인, 과학의"
Day44,companion,"n. 동반자, 동행, 친구"
Day44,breadth,"n. 폭, 너비, 폭넓음"
Day44,particular,"a. 특정한, 특별한"
Day44,majority,"n. 다수, 대부분"
Day44,overlook,"v. 간과하다, 못 본 체하다, 내려다보다"
Day44,genius,"n. 천재, 천재성"
Day44,luxury,n. 사치 a. 사치스러운
Day44,client,"n. 고객, 이용자"
Day44,conclusion,n. 결론
Day44,procedure,"n. (의학적) 처치, 수술, 절차"
Day44,formation,"n. 형성, 형태, 성립"
Day44,adore,"v. 흠모하다, 매우 좋아하다"
Day44,particle,n. 입자
Day44,devastate,"v. 망연자실하게 하다, 파괴하다, 곤혹스럽게 하다"
Day44,manufacture,"n. 생산, 제조 v. 생산하다, 제조하다"
Day44,hostility,"n. 적개심, 적대감"
Day44,caterpillar,n. 애벌레
Day44,adventure,"n. 모험, 모험심"
Day44,adhere,v. 고수하다
Day44,equality,"n. 평등(함), 대등"
Day44,caring,a. 배려하는
Day45,encode,"v. 표현하다, 암호화하다, 부호화하다"
Day45,prospective,"a. 예상되는, 장래의"
Day45,equation,"n. 방정식, 공식"
Day45,means,"n. 수단, 방법, 재산"
Day45,deterministic,a. 결정론적인
Day45,hypothesis,n. 가설 ( pl. hypotheses )
Day45,adapt,"v. 적응하다, 적응시키다, 조정하다"
Day45,neural,a. 신경의
Day45,celestial,a. 천체의
Day45,disregard,"v. 무시하다, 경시하다 n. 무시, 경시"
Day45,ceiling,"n. 한도, 천장"
Day45,tackle,"v. 다루다, 해결하다, 처리하다"
Day45,assertion,n. 주장
Day45,predictable,"a. 예측될 수 있는, 예측 가능한"
Day45,sore,"a. 쑤시는, 아픈"
Day45,pretense,n. 가식
Day45,agent,n. 행위자
Day45,concrete,a. 구체적인
Day45,opposition,n. 반대
Day45,association,"n. 연상, 연관(성), 연합, 협회"
Day45,conscience,n. 양심
Day45,drive,"n. 욕구, 충동, (조직적인) 행사, 운동 v. 몰아가다"
Day45,command,"v. 명령하다, 지시를 내리다 n. 지시, 명령"
Day45,spit,v. 뱉다
Day45,immortal,"a. 죽지 않는, 불멸의"
Day45,uncover,"v. 알아내다, 발견하다"
Day45,solution,"n. 해결(책), 용액"
Day45,eventuate,"v. 귀결되다, 결국 ~이 되다"
Day45,enlightenment,"n. 깨달음, 계몽"
Day45,deceptive,"a. 속이는, 기만적인"
Day46,squeeze,"v. 꽉 쥐다, 짜내다"
Day46,framework,"n. 체계, 체제"
Day46,cherish,"v. 소중히 여기다, 아끼다"
Day46,awkward,"a. 어색한, 서툰"
Day46,inventory,"n. 목록, 재고"
Day46,massive,"a. 거대한, 대규모의, 엄청난"
Day46,disaster,"n. 큰 실패, 재해, 재난"
Day46,identical,a. 동일한
Day46,mimicry,"n. 흉내, 모방"
Day46,heir,"n. 후계자, 계승자, 상속인"
Day46,niece,n. 조카딸
Day46,toxic,"a. 유해한, 유독성의"
Day46,certify,"v. 증명하다, 인증하다"
Day46,revise,"v. 조정하다, 개정하다, 수정하다"
Day46,reliance,"n. 의존, 의지"
Day46,prioritize,v. 우선하다
Day46,lighten,"v. 옅어지다, 밝아지다, 밝게 하다, 가볍게 하다"
Day46,proactive,"a. 주도적인, 선제적인"
Day46,infectious,a. 전염성이 있는
Day46,genre,n. 장르
Day46,gathering,"n. 모임, 채집, 수집"
Day46,acquainted,"a. 알고 있는, 익숙한"
Day46,portray,"v. 묘사하다, 그리다"
Day46,transcription,"n. 전사, 필사"
Day46,intensify,"v. 심화하다, 강화하다"
Day46,overconfidence,"n. 지나친 확신, 과신"
Day46,transmission,"n. 전승, 전달, 전송"
Day46,implementation,"n. 시행, 실행, 도입"
Day46,clarify,v. 명확히 하다
Day46,clone,"n. 복제된 존재, 복제 (생물)"
Day47,ignite,"v. 불러일으키다, 점화하다"
Day47,sustain,"v. (피해 등을) 겪다, 지속하다, 유지하다"
Day47,affective,"a. 감정적인, 정서적인"
Day47,dual,"a. 이중의, 이중적인"
Day47,adrift,a. 표류하는
Day47,succession,"n. 연속, 연쇄"
Day47,dramatic,a. 극적인
Day47,uneven,"a. 고르지 않은, 울퉁불퉁한"
Day47,inclusive,a. 포용적인
Day47,asymmetry,"n. 불균형, 비대칭(성)"
Day47,disturb,"v. 방해하다, 교란하다"
Day47,desirable,a. 바람직한
Day47,refine,"v. 개선하다, 다듬다, 정제하다"
Day47,supervisory,a. 감독의
Day47,install,v. 설치하다
Day47,resonance,"n. 울림, 공명, (비유적으로) 깊은 반향"
Day47,concealment,"n. 은폐, 숨김"
Day47,temporary,"a. 임시의, 일시적인"
Day47,compass,n. 나침반
Day47,classify,v. 분류하다
Day47,senator,n. 상원 의원
Day47,astronomy,n. 천문학
Day47,retire,v. 은퇴하다
Day47,skeptical,"a. 회의론적인, 회의적인"
Day47,surpass,"v. 넘어서다, 뛰어넘다"
Day47,contingency,"n. 우연(성), 우발(성)"
Day47,hemisphere,n. 반구
Day47,unlock,"v. 잠금 해제하다, 드러내다, 열다"
Day47,conception,"n. 이해, 개념"
Day47,population,"n. 개체 수, 주민, 인구"
Day48,tentative,a. 잠정적인
Day48,mutter,v. 중얼거리다
Day48,marvel,"v. 경탄하다, 감탄하다"
Day48,windscreen,n. (자동차의) 앞 유리
Day48,deploy,"v. 효율적으로 사용하다, 배치하다"
Day48,mention,"v. 언급하다, 말하다"
Day48,falsify,"v. 반증하다, 거짓임을 입증하다, 왜곡하다, 조작하다"
Day48,nomad,n. 유목민
Day48,underplay,v. 과소평가하다
Day48,formal,"a. 공식적인, 격식을 차린, 형식적인"
Day48,compel,"v. (강하게) 끌다, 강요하다, ~하게 만들다"
Day48,nucleus,n. 핵 ( pl. nuclei)
Day48,tumble,"v. 쏟아져 내리다, 우수수 떨어지다"
Day48,digestible,"a. 소화하기 쉬운, 이해하기 쉬운"
Day48,prerequisite,n. 전제 조건
Day48,larva,"n. 유충, 애벌레 ( pl. larvae)"
Day48,outcompete,"v. (경쟁에서) 이기다, 앞서다"
Day48,sector,"n. 부문, 분야"
Day48,mining,"n. 채굴, 채광, 광업"
Day48,pollen,n. 꽃가루
Day48,medicine,"n. 약, 의학"
Day48,characterize,"v. (특징을) 기술하다, 특징으로 하다"
Day48,comparable,"a. 비교할 수 있는, 비슷한"
Day48,settlement,"n. 정착지, 정착, 해결"
Day48,driveway,"n. 진입로, 차도"
Day48,preservative,n. 방부제 a. 방부의
Day48,subatomic,"a. 아원자의, 원자보다 작은"
Day48,tense,a. 긴장한
Day48,stimulus,n. 자극 ( pl. stimuli)
Day48,contaminate,v. 오염시키다
Day49,underpin,"v. 뒷받침하다, 지지하다"
Day49,cultivate,"v. 기르다, 양성하다, 경작하다"
Day49,connotation,"n. 함의, 함축(된 의미)"
Day49,suggestion,"n. 권유, 제안 사항, 암시"
Day49,cite,"v. 인용하다, 언급하다"
Day49,solid,"n. 고체, 고형 a. 탄탄한, 고체의"
Day49,thesis,"n. 논문, 명제, 주제"
Day49,encompass,"v. 포함하다, 에워싸다"
Day49,nuance,"n. 미묘한 차이, 뉘앙스 v. 미세하게 조정하다"
Day49,behave,"v. 예의 바르게 행동하다, 움직이다"
Day49,arena,"n. 격전장, 영역, 무대"
Day49,multitude,"n. 많음, 다수"
Day49,expose,"v. 접하게 하다, 노출시키다"
Day49,correspondent,"n. 특파원, 통신원 a. 일치하는"
Day49,mood,"n. 기분, 분위기, 풍조"
Day49,heatwave,"n. 폭염, 장기간에 걸친 혹서"
Day49,aspire,"v. 포부를 가지다, 큰 뜻을 품다"
Day49,via,"prep. ~으로, ~을 통해, ~을 경유하여"
Day49,accuracy,"n. 정확도, 정확성, 정밀"
Day49,tough,"a. 아주 힘이 센, 어려운, 힘든"
Day49,pile,"v. 쌓다 n. 더미, 무더기"
Day49,intern,"n. 인턴(사원), 수련의"
Day49,cruise,"v. 돌아다니다, 순항하다 n. 크루즈 여행, 순항"
Day49,contradiction,"n. 모순, 부인, 반박"
Day49,shortcoming,"n. 단점, 결점"
Day49,procrastinate,v. 미루다
Day49,recurring,"a. 반복적인, 순환하는"
Day49,sigh,n. 한숨 v. 한숨을 내쉬다
Day49,convenient,"a. 편리한, 사용하기 좋은"
Day49,oblige,"v. 의무적으로 하게 하다, ~에게 호의를 베풀다"
Day50,unrecorded,"a. 기록되지 않은, 등록되지 않은"
Day50,reef,"n. 산호, 암초"
Day50,grateful,"a. 감사하는, 고마워하는"
Day50,reservoir,"n. 저장소, 저수지"
Day50,weed,v. 잡초를 뽑다 n. 잡초
Day50,exaggerated,"a. 과장된, 지나친"
Day50,warehouse,"n. 창고, 저장소"
Day50,ubiquity,"n. 아주 흔함, 보편(적 존재), 도처에 있음"
Day50,cynical,"a. 냉소적인, 비꼬는"
Day50,singular,"a. 단일의, 유일한 n. 단수"
Day50,ample,"a. 충분한, 넉넉한, 넓은"
Day50,demand,"v. 요구하다, 청구하다 n. 수요, 요구, 청구"
Day50,pressure,"n. 압력, 압박"
Day50,memorable,"a. 기억할 만한, 잊기 어려운"
Day50,lean,"v. 기울다, 기대다 n. 기울기 a. 얇은, 깡마른"
Day50,extra,"a. 추가의, 여분의"
Day50,graffiti,"n. (공공장소에 하는) 낙서, 그라피티"
Day50,career,"n. 진로, 직업, 경력"
Day50,subscription,"n. 구독, 구독권"
Day50,antiquity,"n. 아주 오래됨, 고대"
Day50,squeak,"v. 찍찍 울다, 삑 소리를 내다 n. 삑 소리"
Day50,unease,n. 불안(감)
Day50,insight,"n. 통찰, 이해"
Day50,multitask,"v. 동시에 여러 가지 일을 하다, 다중 작업을 하다"
Day50,refer,"v. 부르다, 언급하다, 참조하다"
Day50,statement,"n. 진술, 말"
Day50,empower,"v. 부여하다, 힘을 실어 주다"
Day50,crew,"n. 승무원, 선원"
Day50,vision,"n. 비전, 시야, 통찰력"
Day50,apprentice,"n. 견습생, 도제, 실습생"
Day51,uncorrectable,a. 고칠 수 없는
Day51,puffery,"n. 과대광고, 과장 광고"
Day51,net,"a. 순, 에누리 없는 n. 그물, 올가미"
Day51,delay,"v. 지연하다, 미루다, 연기하다 n. 지연"
Day51,subordinate,"a. 종속된, 하위의 n. 낮은 지위의 개체, 하급자, 부하"
Day51,unwelcome,"a. 달갑지 않은, 불편한"
Day51,standing,"n. 지위, 평판"
Day51,input,"n. 투입, 의견 v. 입력하다"
Day51,glimpse,"v. 잠깐 보다, 흘끗 보다 n. 잠깐 봄, 흘끗 봄"
Day51,practical,"a. 실제적인, 실용적인"
Day51,pioneering,"a. 선구적인, 개척하는"
Day51,frankness,"n. 솔직함, 솔직성"
Day51,magnificent,"a. 거대한, 장엄한"
Day51,species,"n. 종(種: 생물 분류의 기초 단위), 종류"
Day51,log,"n. 통나무, 일지, 기록"
Day51,instant,"a. 즉각적인, 순간의 n. 순간, 즉시"
Day51,distress,"n. 고충, 고통"
Day51,stuff,"n. (막연히) 이것, 물건 v. 채우다"
Day51,sphere,"n. 영역, 구체"
Day51,excessive,"a. 과도한, 지나친"
Day51,fairness,"n. 공정성, 공평함"
Day51,vocational,"a. 직업적인, 직업의"
Day51,defect,"n. 결함, 결점 v. 탈퇴하다, 이탈하다"
Day51,density,"n. 밀도, 비중"
Day51,inclination,"n. 경향(성), 성향, 기질"
Day51,imprison,"v. (감옥에) 가두다, 감금하다"
Day51,assure,"v. 장담하다, 안심시키다"
Day51,pseudoscientific,a. 유사 과학의
Day51,delicately,"ad. 세심하게, 섬세하게"
Day51,definitive,"a. 명확한, 결정적인"
Day52,proctor,v. (시험을) 감독하다
Day52,conformism,n. 순응주의
Day52,dissent,n. 반대
Day52,plumage,n. 깃털
Day52,pluck,"v. 뽑다, 뜯다"
Day52,altruism,"n. 이타주의, 이타심"
Day52,commodity,n. 상품
Day52,synchronize,"v. 동기화하다, 동시에 일어나다"
Day52,aggress,"v. 공격하다, 공세를 취하다"
Day52,diminish,v. 줄어들다
Day52,prevalence,"n. 보급, 널리 퍼짐"
Day52,amphibian,n. 양서류
Day52,incubation,"n. 잠복, 부화"
Day52,architect,n. 건축가
Day52,scar,n. 흉터
Day52,neglect,"v. 무관심하다, 도외시하다 n. 방치, 무시"
Day52,critique,"n. 비판, 비판적 분석"
Day52,relocate,v. 이전하다
Day52,psyche,"n. 심리, 마음"
Day52,overtake,v. 앞지르다
Day52,oppressed,a. 억압받는
Day52,orientation,"n. 방향성, 지향성, 오리엔테이션"
Day52,slaughterhouse,n. 도축장
Day52,divergent,"a. 상반된, 서로 다른"
Day52,observe,"v. 관찰하다, 준수하다"
Day52,blizzard,"n. 눈보라, 폭설"
Day52,uptake,"n. 수용, 흡수"
Day52,jurisdiction,"n. 관할 (당국), 관할권"
Day52,advocacy,"n. 옹호, 지지"
Day52,dissolve,"v. 사라지다, 녹이다"
Day53,burst,"v. 붕괴하다, 터지다"
Day53,adept,a. 능숙한
Day53,gut,"n. 장, 소화관"
Day53,heel,"n. 뒷굽, 발뒤꿈치"
Day53,underlying,a. 근본적인
Day53,unforeseen,"a. 예측하지 못한, 뜻밖의"
Day53,align,"v. (~에 맞춰) 조정[조절]하다, 나란하다"
Day53,adolescence,"n. 청소년기, 사춘기"
Day53,ornamental,"a. 장식적인, 장식용의"
Day53,riddled,"a. (구멍이나 해로운 것으로) 가득한, 구멍이 숭숭 뚫린"
Day53,synthesis,"n. 합성, 통합"
Day53,irrelevant,"a. 무의미한, 무관한"
Day53,hurdle,"n. (경기용) 허들, 장애물"
Day53,donor,"n. 기부자, 기증자"
Day53,specification,n. 명세 (사항)
Day53,flashy,"a. 현란한, 화려한"
Day53,indicator,n. 지표
Day53,epidemiology,n. 역학(疫學)
Day53,poll,"n. 여론 조사, 투표"
Day53,launch,"v. 시작하다, 일으키다"
Day53,decorative,"a. 장식의, 장식용의"
Day53,revenue,"n. 수입, 수익"
Day53,thigh,n. 허벅지
Day53,outing,n. 나들이
Day53,fluctuate,"v. 오르내리다, 변동하다"
Day53,loop,n. 고리
Day53,skyrocket,"v. 급상승하다, 급등하다"
Day53,surrounding,n. 주변 (환경)
Day53,orchestrate,"v. 조율하다, 계획하다"
Day53,visibility,"n. 가시성, 시계"
Day54,sedentary,"a. 앉은 채 지내는, 몸을 많이 움직이지 않는"
Day54,envision,"v. 상상하다, 구상하다"
Day54,envisage,"v. 상상하다, 예상하다"
Day54,codify,"v. (법률 등을) 성문화하다, 체계화하다"
Day54,microbiome,n. 체내 미생물 생태계
Day54,urbanization,n. 도시화
Day54,exclaim,v. 외치다
Day54,scrutiny,n. 면밀한 검토[조사]
Day54,retail,n. 소매(상)
Day54,upbringing,n. 양육
Day54,ridge,"n. 능선, 줄기, (물체의) 마루"
Day54,credit,"v. 덕분으로 여기다 n. 공, 신뢰, 신용"
Day54,attic,"n. 다락, 다락방"
Day54,governance,"n. 통치, 관리, 지배 구조"
Day54,pharmaceuticals,"n. 약, 의약품"
Day54,resist,v. 저항하다
Day54,recite,"v. 나열하다, 암송하다"
Day54,microbe,"n. 미생물, 세균"
Day54,harden,v. 굳다
Day54,hallucination,"n. 오해의 소지가 있는 정보, 환각 (증상)"
Day54,herd,"n. (동물의) 무리, 떼"
Day54,consent,"n. 동의, 승낙"
Day54,fin,n. 지느러미
Day54,involve,"v. 수반하다, 포함하다"
Day54,dilation,"n. 지연, 확장"
Day54,scale,"n. 비늘, 규모"
Day54,nod,n. 고개를 끄덕임 v. (고개를) 끄덕이다
Day54,surveillance,n. 감시
Day54,edge,"n. 우위, 가장자리, 끝"
Day54,persistence,"n. 지구력, 끈기, 인내"
Day55,occasion,"n. (특정한) 날, 경우, 행사"
Day55,overview,"n. 개요, 개관"
Day55,inviting,a. 매력적인
Day55,elastic,a. 탄력 있는
Day55,fuss,"n. 번거로움, 소란"
Day55,eagerly,"ad. 간절히, 열정적으로"
Day55,cancel(l)ation,n. 취소
Day55,account,"n. 계정, 서술, 설명"
Day55,genuine,"a. 참된, 진정성 있는"
Day55,refrain,"v. 삼가다, 자제하다"
Day55,essential,"a. 필수적인, 본질적인"
Day55,slip,"n. (작은 종이) 조각, 쪽지 v. 빠져나가다, 미끄러지다"
Day55,shipping,"n. 배송, 운송"
Day55,address,"v. (어려운 문제 등을) 다루다, 처리하다 n. 주소"
Day55,skip,"v. (일·수업·식사 등을) 거르다, 빼다"
Day55,quality,"n. 품질, 질"
Day55,engaging,"a. 흥미로운, 매력적인"
Day55,supervise,"v. 지켜보다, 관리하다, 감독하다"
Day55,ingredient,"n. 성분, 요인, 구성 요소"
Day55,foster,"v. 기르다, 조성하다"
Day55,track,"v. 추적하다 n. 길, 자국"
Day55,uplifting,"a. 기분 좋게 하는, 행복감을 주는"
Day55,landscape,"n. 풍경, 경관, 지형"
Day55,arch,n. 아치 v. 아치형으로 구부리다[휘다]
Day55,worth,a. (~의[할]) 가치가 있는
Day55,comfy,a. 편안한
Day55,geography,"n. 지리, 지리학"
Day55,assignment,"n. 과제, 임무, 배정, 배치"
Day55,supply,"n. 용품, 공급 v. 공급하다"
Day55,equipment,n. 장비
Day56,replacement,"n. 재발급, 교체, 대체"
Day56,payment,"n. 결제, 지불(금), 납입(금)"
Day56,seedling,"n. (어린) 묘목, 새싹"
Day56,profit,"n. 수익, 이윤"
Day56,secure,"v. 확보하다, 획득하다 a. 안전한, 안심하는"
Day56,vendor,"n. 판매자, 노점상"
Day56,retain,v. 유지하다
Day56,substitute,"n. 대타, 대체물 v. 대신하다, 교체하다"
Day56,guidance,"n. 지도, 안내"
Day56,edit,v. 편집하다
Day56,oversee,"v. 총괄하다, 감독하다"
Day56,irritating,"a. 짜증 나게 하는, 성가신"
Day56,depict,"v. 묘사하다, 그리다"
Day56,mobility,n. 이동성
Day56,rewarding,a. 보람 있는
Day56,spot,"v. 찾다, 알아채다 n. 지대, 곳"
Day56,accommodation,"n. (주로 복수로) 숙박 시설, 숙소"
Day56,texture,"n. 질감, 식감"
